,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
afghanistan,0.026,-0.279,0.952,-0.982,-0.017,0.28,-0.379,-0.244,-0.332,0.671,0.823,-1.45,0.314,-0.617,-0.398,-0.273,0.785,0.288,0.201,0.786,0.707,-0.425,0.416,0.013,0.637,-0.064,0.684,1.084,-0.193,0.684,0.029,-0.277,0.152,0.454,0.494,0.106,0.486,0.89,1.099,1.217,1.569,1.314,0.717,1.599,0.648,1.666,0.863,0.9,0.912,1.501,1.166,0.23,1.368,0.533,1.208,1.932,1.386,1.645,1.078,0.38
albania,0.452,0.221,0.316,-0.172,-0.345,0.469,-0.104,0.058,-0.078,-0.036,-0.233,-0.121,-0.244,-0.191,-0.183,-0.736,0.426,-0.533,0.237,-0.589,-0.175,0.294,-0.205,-0.135,0.178,0.303,0.234,0.296,0.116,0.768,-0.396,0.321,0.368,1.346,0.013,-0.029,0.183,0.608,0.899,1.047,1.065,0.902,0.959,0.578,0.055,0.31,1.214,1.266,1.163,1.127,0.924,1.335,1.456,1.343,1.378,1.298,1.189,1.907,1.737,1.426
algeria,0.278,0.073,0.241,0.071,-0.138,0.311,-0.169,0.046,0.323,0.207,-0.451,-0.474,-0.171,-0.589,-0.424,-0.834,0.452,0.136,0.353,0.123,0.473,0.053,0.654,0.018,0.463,0.178,1.145,0.755,0.69,0.897,-0.01,-0.297,0.388,0.562,0.719,0.7,0.818,0.874,1.216,0.819,1.509,1.201,1.198,0.829,1.047,1.103,0.926,0.845,1.033,2.1,0.994,0.908,0.996,1.497,1.035,1.632,1.193,1.067,1.016,1.703
american-samoa,0.045,-0.073,0.17,-0.129,-0.418,-0.233,-0.429,-0.329,0.229,0.005,-0.35,0.046,0.43,-0.047,0.066,-0.026,0.128,0.073,0.249,0.338,0.116,0.3,0.293,0.178,0.273,0.345,0.324,0.465,0.102,0.535,0.634,0.563,0.246,0.402,0.706,0.487,0.365,0.87,0.39,0.609,0.717,0.973,0.61,0.589,0.737,0.594,1.021,0.591,0.593,1.027,0.511,0.539,0.921,0.799,0.734,1.29,1.108,0.886,1.127,1.014
andorra,1.039,-0.114,-0.491,0.36,-0.157,0.464,0.333,0.295,-0.299,0.091,-0.112,-0.587,-0.184,-0.302,-0.112,-0.092,-0.05,-0.293,0.029,-0.492,0.251,0.815,0.725,-0.288,0.11,0.332,0.477,0.643,1.357,1.106,0.219,0.247,0.155,1.285,1.047,0.416,1.649,0.848,0.884,1.089,1.0,1.093,1.682,0.85,0.473,1.69,0.89,0.736,1.417,0.11,1.681,1.159,0.487,1.393,1.716,1.405,1.562,1.415,1.568,1.788
angola,0.105,0.012,-0.091,-0.128,-0.121,0.168,-0.085,-0.13,0.18,0.154,-0.144,-0.066,0.485,-0.254,-0.075,-0.293,0.215,-0.047,0.299,0.333,0.247,0.148,0.655,0.704,0.345,0.358,0.999,0.553,0.504,0.768,0.453,0.644,0.636,0.478,1.019,0.653,0.568,1.387,0.735,0.751,0.929,1.016,1.176,0.784,1.301,0.78,1.243,0.86,0.96,1.194,0.426,0.442,1.096,0.875,1.341,1.532,1.006,1.434,1.779,1.23
anguilla,-0.284,-0.012,0.297,0.126,0.195,0.033,0.067,0.248,0.101,-0.201,-0.1,-0.285,-0.173,0.255,0.103,-0.214,-0.099,0.237,-0.289,-0.25,-0.335,0.153,0.154,0.022,0.511,0.413,0.079,0.459,-0.023,0.025,0.099,0.59,0.361,0.069,0.279,0.301,0.272,0.368,0.371,0.664,0.162,0.514,0.869,0.489,0.115,0.616,0.685,0.805,0.497,0.919,0.832,0.855,0.32,0.613,0.912,0.515,0.656,0.661,0.695,1.044
antarctica,0.359,-0.836,-0.257,-0.6,-0.192,0.042,0.29,-0.072,-0.243,0.452,0.435,0.491,0.331,0.447,0.136,-0.291,0.168,0.021,-0.248,1.005,0.697,-0.407,0.196,0.729,-0.011,0.322,0.419,0.942,0.454,0.478,1.42,0.52,-0.118,-0.115,0.433,1.29,0.166,0.308,-0.045,0.694,0.456,1.058,0.575,0.293,0.75,0.439,1.409,0.781,1.33,0.516,1.121,0.424,0.882,0.633,-0.186,0.641,0.662,1.181,1.266,1.215
antigua-and-barbuda,0.059,0.045,0.194,0.006,-0.197,-0.102,-0.34,-0.276,0.166,0.055,-0.283,-0.109,0.209,-0.285,-0.239,-0.388,0.206,0.182,0.033,0.572,0.517,0.091,0.47,-0.03,-0.046,0.108,0.613,0.326,0.078,0.224,0.269,0.292,0.384,0.305,0.704,0.322,0.626,1.0,0.558,0.294,0.665,0.774,0.896,0.539,0.963,0.827,0.924,0.35,0.641,1.047,0.647,0.801,0.759,0.75,1.134,1.124,0.884,0.677,1.033,1.182
argentina,0.144,0.037,0.043,-0.393,0.072,-0.126,0.218,0.353,0.428,0.379,-0.2,-0.027,-0.187,-0.102,0.185,-0.334,0.578,0.416,0.22,0.476,0.429,0.468,0.165,-0.365,0.551,0.523,0.423,0.039,0.683,0.395,0.237,-0.178,0.191,0.672,0.307,0.361,0.765,0.415,0.181,-0.172,0.518,0.252,0.61,0.532,0.189,0.644,-0.215,0.659,0.727,0.163,0.383,0.79,0.647,0.771,1.005,0.516,1.072,0.767,0.742,1.101
